case_id,canonical_selection_index,release_relative_path,private_reference_filename,historical_private_filename,match_status,identity_status,dataset_repository,dataset_revision,split,streaming,shuffle_seed,shuffle_buffer_size,minimum_resolution,selected_stream_index,source_path_or_key,imagenet_label,source_width,source_height,pre_transform_width,pre_transform_height,post_exif_width,post_exif_height,post_transform_width,post_transform_height,source_exif_orientation,applied_exif_transform,applied_resize,resize_resampling,resize_dimension_rounding,max_side,pre_normalization_png_size_bytes,png_size_trigger_bytes,png_compress_level,png_optimize,icc_profile_preserved,source_file_sha256,source_decoded_rgb_sha256,reconstructed_decoded_rgb_sha256,archived_decoded_rgb_sha256,private_file_sha256,post_preprocessing_match_status,datasets_version,pillow_version,python_version,hash_algorithm
1,1,data/raw_images/normal/1.png,1.png,1.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,1,n02105162_3689_n02105162.JPEG,225,500,333,500,333,500,333,500,333,,false,false,,,,389990,3145728,6,false,false,90f83d90b0f0ad2c3d3aad6199d4a9258602da8097743ca598b246e1a793b388,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,36a204c2b79fd2c93be4863ba205d79b2fa4c032f3bf9f3330bb7edfce8e4e87,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
2,2,data/raw_images/normal/2.png,2.png,2.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,2,n02108422_11084_n02108422.JPEG,243,333,500,333,500,333,500,333,500,,false,false,,,,379127,3145728,6,false,true,9d1ac580b32cc930ee15656856328e0a70a349fb1d1e09571dec2a7741f819c5,7696eb1603a9268deb486a95094337771b8c676b200b603e3e21e4b041f28bc7,7696eb1603a9268deb486a95094337771b8c676b200b603e3e21e4b041f28bc7,7696eb1603a9268deb486a95094337771b8c676b200b603e3e21e4b041f28bc7,c6da3355c34c4caf2f6069a1d8bb1835afca4ed86880b8e31a808c5118032c3c,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
3,3,data/raw_images/normal/3.png,3.png,3.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,3,n03461385_55493_n03461385.JPEG,582,500,402,500,402,500,402,500,402,,false,false,,,,420214,3145728,6,false,true,a54b714b3420f89a54d392e68bf0c28bf38da365daa0b2e4180c8f8482365012,41c4daae467cc8362b5058dddee569c3c946492f216ec51e183785ee05cbfeeb,41c4daae467cc8362b5058dddee569c3c946492f216ec51e183785ee05cbfeeb,41c4daae467cc8362b5058dddee569c3c946492f216ec51e183785ee05cbfeeb,200e8ed31040949bb29fc8eacf17ba10822a0e098774d9774d389c8718aba18a,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
4,4,data/raw_images/normal/4.png,4.png,4.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,4,n03063599_2678_n03063599.JPEG,504,640,480,640,480,640,480,640,480,1,false,false,,,,160340,3145728,6,false,false,3b79dbe51be35b1c71b31672cfada687e52164ba8e1dfd0e90369d9a826c4a8d,ccee874db18770c75b63900455c1968de67b2eee563e6d9d97b61765a70a9549,ccee874db18770c75b63900455c1968de67b2eee563e6d9d97b61765a70a9549,ccee874db18770c75b63900455c1968de67b2eee563e6d9d97b61765a70a9549,2f51a4cde5d75bfe89cb3a9d448f087ecdf80c2ad1354f389f21256d90567a91,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
5,5,data/raw_images/normal/5.png,5.png,5.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,6,n01630670_4859_n01630670.JPEG,26,500,375,500,375,500,375,500,375,,false,false,,,,405315,3145728,6,false,false,be19fbe313a7782dd60b19287be2f59c19d6562c69a8d99cc09cf06fa46a50dc,6c4a6d0a46127c01264c64f3d4ebfa1c6d049c50bf4d3e49f309e8a69a1eadf0,6c4a6d0a46127c01264c64f3d4ebfa1c6d049c50bf4d3e49f309e8a69a1eadf0,6c4a6d0a46127c01264c64f3d4ebfa1c6d049c50bf4d3e49f309e8a69a1eadf0,68b456c180892fcb82a2c11deaae707df2fefda8abc0c6e421d77b7f047797c8,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
6,6,data/raw_images/normal/6.png,6.png,6.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,7,n01872401_3843_n01872401.JPEG,102,500,333,500,333,500,333,500,333,,false,false,,,,402169,3145728,6,false,false,2df78bf8f4052c55d0b309f1472628939c7cd92d0414e0eee7e7bcc42c76ae8f,47a039700f15339d02e47f458f693a0feafa7362e59d3feea24c4ae788e6af27,47a039700f15339d02e47f458f693a0feafa7362e59d3feea24c4ae788e6af27,47a039700f15339d02e47f458f693a0feafa7362e59d3feea24c4ae788e6af27,e4c7fb0dce482bebe0d3b0c74506f49a3e3da208e7ca740210f48d9126250a51,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
7,7,data/raw_images/normal/7.png,7.png,7.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,8,n04317175_4409_n04317175.JPEG,823,500,375,500,375,500,375,500,375,,false,false,,,,292443,3145728,6,false,true,410eeaa1f55cffe2cb9dc4e36778e336e9dc826046e627e33a3a6adba44a6e4c,661b3c557fa784bed5776fb9c04a19fad39203aff821a7705efa3479e6b55b04,661b3c557fa784bed5776fb9c04a19fad39203aff821a7705efa3479e6b55b04,661b3c557fa784bed5776fb9c04a19fad39203aff821a7705efa3479e6b55b04,7f7a1e83fd3259e9736cf21a1dc0f7f204706fde5872691a1f073495f16356c4,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
8,8,data/raw_images/normal/8.png,8.png,8.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,9,n02099712_2879_n02099712.JPEG,208,568,512,568,512,568,512,568,512,,false,false,,,,208466,3145728,6,false,false,6b66e78a2bec0ea7ec0730761415a3119c7a19e791e545c8124e3d23274ddfc9,b151b77bbb465231e1adb71f5e547c16826244183e52c3f440e0d5f3be753f13,b151b77bbb465231e1adb71f5e547c16826244183e52c3f440e0d5f3be753f13,b151b77bbb465231e1adb71f5e547c16826244183e52c3f440e0d5f3be753f13,0783f23a5193713383ab060351e64886e330bec1c4157d9151ccbe094ffe73e5,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
9,9,data/raw_images/normal/9.png,9.png,9.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,10,n02480495_16764_n02480495.JPEG,365,500,375,500,375,500,375,500,375,,false,false,,,,431455,3145728,6,false,true,ce5d9fab001ff9e6ac3a35a1b9a78fdd4dfe95cc10f66fab5ccf46e6d72bd73b,c68378cd8f4d30abd4ec6c83175029746d0d0455ec4687c673f6d7600ad97e14,c68378cd8f4d30abd4ec6c83175029746d0d0455ec4687c673f6d7600ad97e14,c68378cd8f4d30abd4ec6c83175029746d0d0455ec4687c673f6d7600ad97e14,b7fbf18c01a358d5bf4b130f682e57119ab5fc83dad22bf06a7235acb8279d28,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
10,10,data/raw_images/normal/10.png,10.png,10.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,11,n04335435_75775_n04335435.JPEG,829,500,334,500,334,500,334,500,334,,false,false,,,,328233,3145728,6,false,false,75c5f1351da7ed40e8aec6c9ba90a3d516b9d2a78caaf66f2b129dd58d6b94ba,3051269bc6baaa9c5786fedad5f920e0ccd01e8f1ca69e53e25effcddc574552,3051269bc6baaa9c5786fedad5f920e0ccd01e8f1ca69e53e25effcddc574552,3051269bc6baaa9c5786fedad5f920e0ccd01e8f1ca69e53e25effcddc574552,43dbf6d543fe4cde032041e8f28a3b98d2e8bd6c64e4b4aa5a358124287424c4,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
11,11,data/raw_images/normal/11.png,11.png,11.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,12,n04136333_10752_n04136333.JPEG,775,500,375,500,375,500,375,500,375,,false,false,,,,248302,3145728,6,false,false,77968d88ae3990b0c4ddf4818eb0dc541731d37c561945d962d7a673512b5a5a,1e72b04e69f83d7edb37cde2911f6d1f97e2e520e8461cd9cfd658ce03e496a2,1e72b04e69f83d7edb37cde2911f6d1f97e2e520e8461cd9cfd658ce03e496a2,1e72b04e69f83d7edb37cde2911f6d1f97e2e520e8461cd9cfd658ce03e496a2,385e1cd2b10aba4d144eca2db83a5d1954fb5b04a8031a8494465c1d0941cebd,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
