case_id,release_relative_path,whoops_source_id,source_filename_or_path,width,height,source_file_sha256,decoded_rgb_sha256,license,dataset_repository,dataset_revision,datasets_version,pillow_version,hash_algorithm,private_artifact_sha256,private_evidence_location,match_status,deterministic_transform,transform_evidence,original_git_blob_sha256,original_git_decoded_rgb_sha256
500,data/raw_images/abnormal/500.png,00c2b245b97d9c02150d2b88df1d5c8d1cf398e20e18dec1bb7ba268ad0924e3,https://whoops-benchmark.s3.amazonaws.com/whoops_images/00c2b245b97d9c02150d2b88df1d5c8d1cf398e20e18dec1bb7ba268ad0924e3.png,1024,1024,00c2b245b97d9c02150d2b88df1d5c8d1cf398e20e18dec1bb7ba268ad0924e3,e6a7d561be665104aeabc6c1f2b847d5541e7222b746407c5e59dde1627f67b5,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),00c2b245b97d9c02150d2b88df1d5c8d1cf398e20e18dec1bb7ba268ad0924e3,working-tree:500.png,exact_decoded_match,,,,
501,data/raw_images/abnormal/501.png,0165e9be8bd8dce5ca046484a5f6340cf767f18ae4e5a80a1e5139fc65172bff,https://whoops-benchmark.s3.amazonaws.com/whoops_images/0165e9be8bd8dce5ca046484a5f6340cf767f18ae4e5a80a1e5139fc65172bff.png,1013,1024,0165e9be8bd8dce5ca046484a5f6340cf767f18ae4e5a80a1e5139fc65172bff,f104b95103b7e21ddc62b0bdc1a344fc321dc4b07d9bc9a29b315af5448d2cc9,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),0165e9be8bd8dce5ca046484a5f6340cf767f18ae4e5a80a1e5139fc65172bff,working-tree:501.png,exact_decoded_match,,,,
502,data/raw_images/abnormal/502.png,0190270cf0f43e512685879bc8ee88d5bb858132d67158fb27830bea83674716,https://whoops-benchmark.s3.amazonaws.com/whoops_images/0190270cf0f43e512685879bc8ee88d5bb858132d67158fb27830bea83674716.png,1024,1024,0190270cf0f43e512685879bc8ee88d5bb858132d67158fb27830bea83674716,2998585ef88925a5f0d1f924aa292803f01c99b863e17888b283adfd94745078,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),0190270cf0f43e512685879bc8ee88d5bb858132d67158fb27830bea83674716,working-tree:502.png,exact_decoded_match,,,,
503,data/raw_images/abnormal/503.png,02064a6756a56defa8aec1b7a72a019abb94bb620ffab5f83f678d9639de79f1,https://whoops-benchmark.s3.amazonaws.com/whoops_images/02064a6756a56defa8aec1b7a72a019abb94bb620ffab5f83f678d9639de79f1.png,1024,1024,02064a6756a56defa8aec1b7a72a019abb94bb620ffab5f83f678d9639de79f1,dc3276abde4c6d1bdef5662ed9a037ba65a66a8e20a3c0798d16af08740951a2,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),02064a6756a56defa8aec1b7a72a019abb94bb620ffab5f83f678d9639de79f1,working-tree:503.png,exact_decoded_match,,,,
504,data/raw_images/abnormal/504.png,037cb53ab259b8554be8ad2a250cb2c0a3ed3178315088e3ddc436f0208f0eda,https://whoops-benchmark.s3.amazonaws.com/whoops_images/037cb53ab259b8554be8ad2a250cb2c0a3ed3178315088e3ddc436f0208f0eda.png,1024,1024,037cb53ab259b8554be8ad2a250cb2c0a3ed3178315088e3ddc436f0208f0eda,eb32408637cfd1dbb408e5d8e7b1c526b2cfdc69b0544807c3e65f66808d9b32,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),037cb53ab259b8554be8ad2a250cb2c0a3ed3178315088e3ddc436f0208f0eda,working-tree:504.png,exact_decoded_match,,,,
505,data/raw_images/abnormal/505.png,041fbac254a9af1ed78440553f1478a9ac950f38283077b07d2241efd2c0018c,https://whoops-benchmark.s3.amazonaws.com/whoops_images/041fbac254a9af1ed78440553f1478a9ac950f38283077b07d2241efd2c0018c.png,1024,1024,041fbac254a9af1ed78440553f1478a9ac950f38283077b07d2241efd2c0018c,b4c765860b500c3e3df6b0c1f1485cb8cf632d9d02c7e90a00f7320152c9a504,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),041fbac254a9af1ed78440553f1478a9ac950f38283077b07d2241efd2c0018c,working-tree:505.png,exact_decoded_match,,,,
506,data/raw_images/abnormal/506.png,04b23404d3a21af989f50dae03d8bd0c82b45cf2e61e78ff95674a0d310998d0,https://whoops-benchmark.s3.amazonaws.com/whoops_images/04b23404d3a21af989f50dae03d8bd0c82b45cf2e61e78ff95674a0d310998d0.png,1024,1024,04b23404d3a21af989f50dae03d8bd0c82b45cf2e61e78ff95674a0d310998d0,821d3e3f913351cd50f9cb915273dbda2292a6d32a309a753fd02fa0925aa7c2,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),04b23404d3a21af989f50dae03d8bd0c82b45cf2e61e78ff95674a0d310998d0,working-tree:506.png,exact_decoded_match,,,,
507,data/raw_images/abnormal/507.png,0523238ad853df24e690fc2299d75dfec199797050371874820d7db9f4bcf6d4,https://whoops-benchmark.s3.amazonaws.com/whoops_images/0523238ad853df24e690fc2299d75dfec199797050371874820d7db9f4bcf6d4.png,1024,1024,0523238ad853df24e690fc2299d75dfec199797050371874820d7db9f4bcf6d4,3d53785061e74f4be49838fe4ed3b571f9967ab7fff40b4b96075a3eb44d28ec,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),0523238ad853df24e690fc2299d75dfec199797050371874820d7db9f4bcf6d4,working-tree:507.png,exact_decoded_match,,,,
508,data/raw_images/abnormal/508.png,05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d,https://whoops-benchmark.s3.amazonaws.com/whoops_images/05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d.png,1536,1024,05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d,ba15bc7c11846d5b32161591047a165cbf412d32d65a4280331475ccd41d0e3a,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),0fecfa3f41e78161de8db57ff7b37339ca9192726f136f09d58c2a0e92abea36,working-tree:508.png,deterministic_transform_verified,resize_max_side_1536_lanczos_floor_dimensions,official_decoded_rgb_sha256=e42ead535dba0c631f41f5bb9326674c160121b1964789e5b933eabebc79e6a8; transformed_decoded_rgb_sha256=ba15bc7c11846d5b32161591047a165cbf412d32d65a4280331475ccd41d0e3a; archive_revision=0616dca,05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d,e42ead535dba0c631f41f5bb9326674c160121b1964789e5b933eabebc79e6a8
509,data/raw_images/abnormal/509.png,0572e350344bda27364c82c950cd17980a367dbdb14862bedc4ceafcabc3ed5e,https://whoops-benchmark.s3.amazonaws.com/whoops_images/0572e350344bda27364c82c950cd17980a367dbdb14862bedc4ceafcabc3ed5e.png,1024,1024,0572e350344bda27364c82c950cd17980a367dbdb14862bedc4ceafcabc3ed5e,1d2736fe4900e2f05c6cabb0250f387961c857af21858f7732410ec7b1a275c4,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),0572e350344bda27364c82c950cd17980a367dbdb14862bedc4ceafcabc3ed5e,working-tree:509.png,exact_decoded_match,,,,
510,data/raw_images/abnormal/510.png,05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a,https://whoops-benchmark.s3.amazonaws.com/whoops_images/05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a.png,1536,1024,05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a,a118315935102626c02a0c2566199237049d2421049f4b67ba9d8d772c4d4ae7,CC BY 4.0 plus WHOOPS! Dataset License Agreement additional conditions,nlphuji/whoops,cca58d854ee35b6bfbedc14a9155483e89500ae9,5.0.1,12.3.0,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major),05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a,working-tree:510.png,exact_decoded_match,,,,
